model,scope,class_index,class_name,f1,precision,predicted_count,recall,support
S2,all_available_folds,6.0,Smart Casual,0.08333333333333333,0.16666666666666666,6,0.05555555555555555,18
S2,all_available_folds,7.0,Sports,0.6181069958847737,0.6877289377289377,1092,0.5612855007473841,1338
S2,all_available_folds,8.0,Travel,0.2,0.5,2,0.125,8
E1,all_available_folds,,Casual,0.9328887849009515,,26137,,25151
E1,all_available_folds,,Ethnic,0.8463177835661851,,2040,,2183
E1,all_available_folds,,Formal,0.7938890377914768,,1782,,1949
E1,all_available_folds,,Home,0.0,,0,,1
E1,all_available_folds,,NA,0.11764705882352941,,7,,61
E1,all_available_folds,,Party,0.0,,0,,12
E1,all_available_folds,,Smart Casual,0.0,,0,,47
E1,all_available_folds,,Sports,0.6730612908470167,,2805,,3346
E1,all_available_folds,,Travel,0.0,,1,,22
